Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY18-19,19827,Stony Point,-38.37423454,145.2218375,5400,50,50,50,50,50,50,50,50,50,50
FY18-19,19828,Crib Point,-38.36612338,145.2040433,17900,50,50,50,150,100,50,50,50,50,50
FY18-19,19829,Morradoo,-38.35403334,145.1896025,5650,50,50,50,50,50,50,50,50,50,50
FY18-19,19830,Bittern,-38.33739032,145.1780265,14800,50,50,50,50,50,50,50,50,50,50
FY18-19,19831,Hastings,-38.30565853,145.1859799,21900,50,50,50,50,50,50,50,50,50,50
FY18-19,19832,Tyabb,-38.259815,145.1864007,5600,50,50,50,50,50,50,50,50,50,50
FY18-19,19833,Somerville,-38.22534196,145.1762449,13150,50,50,50,50,50,50,50,50,50,50
FY18-19,19834,Baxter,-38.19404306,145.1605261,3400,50,50,50,50,50,50,50,50,50,50
FY18-19,19835,Glen Iris,-37.85930842,145.0582249,330100,1150,1250,900,450,300,50,600,200,350,50
FY18-19,19836,Leawarra,-38.152034,145.139534,10250,50,50,50,50,50,50,50,50,50,50
FY18-19,19837,Darling,-37.86895684,145.0629508,361300,1200,1250,1150,550,550,50,750,200,150,50
FY18-19,19838,East Malvern,-37.87693002,145.069393,481150,1700,1600,2050,600,400,100,1050,250,150,50
FY18-19,19839,Holmesglen,-37.87440222,145.090662,531300,1800,1800,1700,850,600,100,750,450,400,100
FY18-19,19840,Jordanville,-37.87360339,145.1120902,498850,1700,1750,1650,700,550,150,1000,300,200,50
FY18-19,19844,Belgrave,-37.9091021,145.3552913,389750,1250,1250,1200,800,600,250,450,250,300,50
FY18-19,19845,Tecoma,-37.90811849,145.3429946,75650,250,250,250,100,100,50,150,50,50,50
FY18-19,19846,Upwey,-37.90369097,145.3313334,157050,550,550,450,250,150,50,300,100,100,50
FY18-19,19847,Alamein,-37.86832039,145.0796557,145700,500,500,450,200,150,50,350,100,50,50
FY18-19,19848,Ashburton,-37.86196753,145.0813438,299050,1050,1100,900,400,300,100,700,150,100,50
FY18-19,19849,Burwood,-37.85156328,145.0805111,357550,1300,1350,1100,400,300,100,850,200,200,50
FY18-19,19850,Hartwell,-37.84398457,145.0755596,214350,750,800,650,250,150,50,500,100,150,50
FY18-19,19851,Willison,-37.83571565,145.0702976,102600,350,400,300,100,100,50,250,50,50,50
FY18-19,19852,Riversdale,-37.83150543,145.069646,214700,800,900,500,150,100,50,450,100,250,50
FY18-19,19853,Camberwell,-37.82656714,145.0586972,1969600,6250,6450,5550,3800,3550,200,2050,1200,2550,400
FY18-19,19855,Frankston,-38.14299007,145.1261623,1296500,4000,4150,3600,2900,2250,750,1300,1050,900,150
FY18-19,19856,Kananook,-38.12174203,145.1352953,295900,1000,1050,800,450,300,250,450,200,150,50
FY18-19,19857,Seaford,-38.10402104,145.1282304,374150,1250,1300,1000,650,450,400,550,200,150,50
FY18-19,19858,Carrum,-38.07489292,145.1224183,430400,1400,1450,1100,900,650,250,700,300,200,50
FY18-19,19859,Bonbeach,-38.06294478,145.1196804,205250,700,700,550,350,250,100,400,150,50,50
FY18-19,19860,Chelsea,-38.05195538,145.1160413,488600,1600,1650,1300,950,700,250,800,350,200,50
FY18-19,19861,Edithvale,-38.03805602,145.1085355,303950,1000,1050,850,550,400,150,550,200,100,50
FY18-19,19862,Aspendale,-38.02722019,145.1021496,237900,800,850,600,400,300,100,450,150,100,50
FY18-19,19863,Mordialloc,-38.00658295,145.0876594,755550,2450,2550,1950,1550,1100,300,1150,500,550,100
FY18-19,19864,Parkdale,-37.99307882,145.0763268,429250,1450,1550,1050,800,550,150,750,300,300,50
FY18-19,19865,Mentone,-37.9818654,145.0651659,892150,3050,3300,2050,1400,1000,250,1300,600,1000,100
FY18-19,19866,Cheltenham,-37.96664989,145.0545579,823400,2800,2950,2050,1350,1000,300,1500,500,600,100
FY18-19,19867,Upper Ferntree Gully,-37.8926717,145.3075302,264650,900,900,800,450,350,200,450,150,100,50
FY18-19,19868,Ferntree Gully,-37.88169799,145.2952513,491150,1700,1750,1550,650,450,350,1000,250,150,50
FY18-19,19869,Boronia,-37.8604518,145.2843851,677500,2300,2400,2000,1050,700,400,1250,450,250,50
FY18-19,19870,Bayswater,-37.84173004,145.2681364,538050,1850,1900,1650,800,550,300,950,300,300,50
FY18-19,19871,Heathmont,-37.82832227,145.2445554,273900,950,1000,800,350,250,100,600,150,150,50
FY18-19,19872,Highett,-37.948425,145.0418718,508400,1650,1750,1200,1000,750,150,850,350,300,100
FY18-19,19873,Glen Waverley,-37.87950407,145.1620575,1693350,5650,5700,5500,2800,2150,550,2800,1150,950,250
FY18-19,19874,Syndal,-37.87622963,145.1497805,898900,3150,3200,3050,1150,850,550,1700,450,450,100
FY18-19,19875,Mount Waverley,-37.87525526,145.1280557,820100,2800,2900,2550,1200,900,250,1450,500,550,50
FY18-19,19876,Lilydale,-37.75551777,145.3477102,701900,2300,2400,2050,1300,950,400,1000,500,400,50
FY18-19,19877,Mooroolbark,-37.78474883,145.3124024,722150,2500,2600,2100,1100,750,500,1350,400,250,50
FY18-19,19878,Croydon,-37.79543697,145.2805978,916300,3150,3250,2750,1400,900,600,1600,600,450,50
FY18-19,19879,Ringwood East,-37.81196804,145.2501909,460250,1650,1700,1350,500,350,250,1000,250,200,50
