Year,Month,Month_name,Day_type,Mode,Pax_daily
2018,1,Jan,Normal Weekday,MetroBus,356150
2018,1,Jan,Normal Weekday,MetroTrain,694800
2018,1,Jan,Normal Weekday,Tram,585500
2018,1,Jan,Normal Weekday,RegionalBus,26950
2018,1,Jan,Normal Weekday,RegionalTrain,49600
2018,2,Feb,Normal Weekday,MetroBus,463500
2018,2,Feb,Normal Weekday,MetroTrain,788600
2018,2,Feb,Normal Weekday,Tram,680050
2018,2,Feb,Normal Weekday,RegionalBus,40600
2018,2,Feb,Normal Weekday,RegionalTrain,55150
2018,3,Mar,Normal Weekday,MetroBus,490250
2018,3,Mar,Normal Weekday,MetroTrain,870100
2018,3,Mar,Normal Weekday,Tram,759400
2018,3,Mar,Normal Weekday,RegionalBus,42650
2018,3,Mar,Normal Weekday,RegionalTrain,61100
2018,4,Apr,Normal Weekday,MetroBus,468000
2018,4,Apr,Normal Weekday,MetroTrain,842400
2018,4,Apr,Normal Weekday,Tram,688350
2018,4,Apr,Normal Weekday,RegionalBus,41250
2018,4,Apr,Normal Weekday,RegionalTrain,59400
2018,5,May,Normal Weekday,MetroBus,431600
2018,5,May,Normal Weekday,MetroTrain,816050
2018,5,May,Normal Weekday,Tram,634200
2018,5,May,Normal Weekday,RegionalBus,39250
2018,5,May,Normal Weekday,RegionalTrain,57850
2018,6,Jun,Normal Weekday,MetroBus,400500
2018,6,Jun,Normal Weekday,MetroTrain,760950
2018,6,Jun,Normal Weekday,Tram,616600
2018,6,Jun,Normal Weekday,RegionalBus,37850
2018,6,Jun,Normal Weekday,RegionalTrain,55850
2018,7,Jul,Normal Weekday,MetroBus,421750
2018,7,Jul,Normal Weekday,MetroTrain,797200
2018,7,Jul,Normal Weekday,Tram,648350
2018,7,Jul,Normal Weekday,RegionalBus,38050
2018,7,Jul,Normal Weekday,RegionalTrain,57950
2018,8,Aug,Normal Weekday,MetroBus,455950
2018,8,Aug,Normal Weekday,MetroTrain,806750
2018,8,Aug,Normal Weekday,Tram,666000
2018,8,Aug,Normal Weekday,RegionalBus,40550
2018,8,Aug,Normal Weekday,RegionalTrain,57000
2018,9,Sep,Normal Weekday,MetroBus,450850
2018,9,Sep,Normal Weekday,MetroTrain,820400
2018,9,Sep,Normal Weekday,Tram,617950
2018,9,Sep,Normal Weekday,RegionalBus,41100
2018,9,Sep,Normal Weekday,RegionalTrain,57250
2018,10,Oct,Normal Weekday,MetroBus,445200
2018,10,Oct,Normal Weekday,MetroTrain,808850
2018,10,Oct,Normal Weekday,Tram,672800
2018,10,Oct,Normal Weekday,RegionalBus,41450
2018,10,Oct,Normal Weekday,RegionalTrain,57450
2018,11,Nov,Normal Weekday,MetroBus,423200
2018,11,Nov,Normal Weekday,MetroTrain,794150
2018,11,Nov,Normal Weekday,Tram,678150
2018,11,Nov,Normal Weekday,RegionalBus,39950
2018,11,Nov,Normal Weekday,RegionalTrain,56550
2018,12,Dec,Normal Weekday,MetroBus,364850
2018,12,Dec,Normal Weekday,MetroTrain,721400
2018,12,Dec,Normal Weekday,Tram,672900
2018,12,Dec,Normal Weekday,RegionalBus,34200
2018,12,Dec,Normal Weekday,RegionalTrain,50700
2019,1,Jan,Normal Weekday,MetroBus,391750
2019,1,Jan,Normal Weekday,MetroTrain,741350
2019,1,Jan,Normal Weekday,Tram,623650
2019,1,Jan,Normal Weekday,RegionalBus,33200
2019,1,Jan,Normal Weekday,RegionalTrain,50450
2019,2,Feb,Normal Weekday,MetroBus,442950
2019,2,Feb,Normal Weekday,MetroTrain,814400
2019,2,Feb,Normal Weekday,Tram,647100
2019,2,Feb,Normal Weekday,RegionalBus,43600
2019,2,Feb,Normal Weekday,RegionalTrain,59000
2019,3,Mar,Normal Weekday,MetroBus,490900
2019,3,Mar,Normal Weekday,MetroTrain,888750
2019,3,Mar,Normal Weekday,Tram,707100
2019,3,Mar,Normal Weekday,RegionalBus,44850
2019,3,Mar,Normal Weekday,RegionalTrain,63350
2019,4,Apr,Normal Weekday,MetroBus,446200
2019,4,Apr,Normal Weekday,MetroTrain,792950
2019,4,Apr,Normal Weekday,Tram,654250
2019,4,Apr,Normal Weekday,RegionalBus,41900
2019,4,Apr,Normal Weekday,RegionalTrain,55550
2019,5,May,Normal Weekday,MetroBus,466950
2019,5,May,Normal Weekday,MetroTrain,828850
2019,5,May,Normal Weekday,Tram,658900
2019,5,May,Normal Weekday,RegionalBus,41250
2019,5,May,Normal Weekday,RegionalTrain,61350
2019,6,Jun,Normal Weekday,MetroBus,414850
2019,6,Jun,Normal Weekday,MetroTrain,776500
2019,6,Jun,Normal Weekday,Tram,609800
2019,6,Jun,Normal Weekday,RegionalBus,38650
2019,6,Jun,Normal Weekday,RegionalTrain,57150
2019,7,Jul,Normal Weekday,MetroBus,448450
2019,7,Jul,Normal Weekday,MetroTrain,787150
2019,7,Jul,Normal Weekday,Tram,625150
2019,7,Jul,Normal Weekday,RegionalBus,42900
2019,7,Jul,Normal Weekday,RegionalTrain,59400
2019,8,Aug,Normal Weekday,MetroBus,453200
2019,8,Aug,Normal Weekday,MetroTrain,830000
2019,8,Aug,Normal Weekday,Tram,658050
2019,8,Aug,Normal Weekday,RegionalBus,43100
2019,8,Aug,Normal Weekday,RegionalTrain,60950
2019,9,Sep,Normal Weekday,MetroBus,449550
2019,9,Sep,Normal Weekday,MetroTrain,834700
2019,9,Sep,Normal Weekday,Tram,648700
2019,9,Sep,Normal Weekday,RegionalBus,44450
2019,9,Sep,Normal Weekday,RegionalTrain,61600
2019,10,Oct,Normal Weekday,MetroBus,443200
2019,10,Oct,Normal Weekday,MetroTrain,825250
2019,10,Oct,Normal Weekday,Tram,612550
2019,10,Oct,Normal Weekday,RegionalBus,39650
2019,10,Oct,Normal Weekday,RegionalTrain,61050
2019,11,Nov,Normal Weekday,MetroBus,433150
2019,11,Nov,Normal Weekday,MetroTrain,809700
2019,11,Nov,Normal Weekday,Tram,589500
2019,11,Nov,Normal Weekday,RegionalBus,37850
2019,11,Nov,Normal Weekday,RegionalTrain,55650
2019,12,Dec,Normal Weekday,MetroBus,401900
2019,12,Dec,Normal Weekday,MetroTrain,775000
2019,12,Dec,Normal Weekday,Tram,567200
2019,12,Dec,Normal Weekday,RegionalBus,32650
2019,12,Dec,Normal Weekday,RegionalTrain,56950
2020,1,Jan,Normal Weekday,MetroBus,375250
2020,1,Jan,Normal Weekday,MetroTrain,721650
2020,1,Jan,Normal Weekday,Tram,466450
2020,1,Jan,Normal Weekday,RegionalBus,33200
2020,1,Jan,Normal Weekday,RegionalTrain,50050
2020,2,Feb,Normal Weekday,MetroBus,442150
2020,2,Feb,Normal Weekday,MetroTrain,807600
2020,2,Feb,Normal Weekday,Tram,569050
2020,2,Feb,Normal Weekday,RegionalBus,45750
2020,2,Feb,Normal Weekday,RegionalTrain,61600
2020,3,Mar,Normal Weekday,MetroBus,392150
2020,3,Mar,Normal Weekday,MetroTrain,684450
2020,3,Mar,Normal Weekday,Tram,469200
2020,3,Mar,Normal Weekday,RegionalBus,41950
2020,3,Mar,Normal Weekday,RegionalTrain,51400
2020,4,Apr,Normal Weekday,MetroBus,61550
2020,4,Apr,Normal Weekday,MetroTrain,87600
2020,4,Apr,Normal Weekday,Tram,57300
2020,4,Apr,Normal Weekday,RegionalBus,7450
