Year,Month,Month name,Metropolitan train,Metropolitan tram,Metropolitan bus,Regional train,Regional coach,Regional bus
2018,1,January,16809932,15231368,7568547,1466256,116568,721229
2018,2,February,19554477,16980925,10487311,1522981,103197,1118494
2018,3,March,22659010,19832126,11528895,1809774,117180,1224816
2018,4,April,20312040,16919872,9592750,1684827,107480,946218
2018,5,May,22768447,17691427,11263486,1790656,109456,1258704
2018,6,June,19284755,15836171,9526795,1535636,101215,1077970
2018,7,July,20732099,17169239,9657327,1799245,109103,967622
2018,8,August,22566766,18415592,11756706,1845673,110348,1261319
2018,9,September,20056487,15892774,9878596,1676490,104525,1033758
2018,10,October,22299761,18677490,11233979,1872410,121267,1232418
2018,11,November,20806123,17398998,10367915,1755492,111699,1182863
2018,12,December,16665365,15404107,7941245,1534399,113023,878944
2019,1,January,17074623,15695535,7845144,1532342,110708,748369
2019,2,February,20011823,16485000,10105546,1676391,103886,1201991
2019,3,March,22250796,19456794,11775566,1916630,112302,1232933
2019,4,April,18579825,17400302,9667587,1722745,111012,961318
2019,5,May,23045436,18410816,12082141,2007166,111604,1287180
2019,6,June,19099513,15041547,9515676,1704331,98137,1084632
2019,7,July,20771347,16784796,10417277,1898701,108706,1083306
2019,8,August,22618021,17578879,11485155,1981136,107987,1275349
2019,9,September,20593343,15733247,10238956,1805116,104419,1089826
2019,10,October,22429337,16917616,11294945,1927784,115819,1212228
2019,11,November,20413342,15344062,10405336,1728907,106782,1126220
2019,12,December,17890229,13736921,8858522,1648394,110447,873469
2020,1,January,17015987,13396238,8369145,1684792,105751,764361
2020,2,February,19811543,14656787,10407862,1771293,99955,1276038
2020,3,March,13746958,9602985,7600641,1252698,74665,947946
2020,4,April,2165747,1376119,1507175,245905,17602,227342
2020,5,May,3670296,2587250,2539068,374640,29670,368116
2020,6,June,6432121,4080847,4752862,580767,51732,763812
2020,7,July,3963903,2505061,3170618,425103,41425,769837
2020,8,August,1887499,1224017,1793958,222256,17890,343285
2020,9,September,1931257,1245928,2038847,257723,23051,380397
2020,10,October,3388960,2130346,3769166,365653,36990,848872
2020,11,November,6439402,4511166,5795635,593115,51260,911034
2020,12,December,7868276,5995164,5885341,894120,74068,666297
2021,1,January,7231312,5553277,4805284,738979,60026,484867
2021,2,February,7822660,5882295,5617752,759259,54099,797454
2021,3,March,11852314,8750223,7645169,1182831,75765,1009127
2021,4,April,11632636,9123455,6628991,1199886,75002,697503
2021,5,May,11375712,8761433,6962665,1117254,66206,811685
2021,6,June,6321515,4557256,4452322,624054,46233,693393
2021,7,July,7512489,5093722,4722392,688891,45599,599227
2021,8,August,3954587,2686330,3102190,444102,33264,707880
2021,9,September,2769485,1910362,2405774,257172,23838,451102
2021,10,October,3995863.108,3102680.862,3435760.521,376222,33948,656824.271
2021,11,November,8341146.464,7034365.11,6453896.852,759913,55165,855703.7608
2021,12,December,9127862.066,8359146.325,5912880.252,994159,67426,688849.4115
2022,1,January,5778986.477,5372999.394,4124071.316,675856,51750,549859.2761
2022,2,February,8382008.017,7962117.489,6205044.929,865020,57210,985730.7726
2022,3,March,13045722.47,11614262.44,8476973.556,1298156,73664,1060922.907
2022,4,April,11890697.5,10065400.43,6870377.306,1220454,73735,838557.5439
2022,5,May,12833409.03,10150912.69,7779323.778,1288118,71603,1121793.747
2022,6,June,11842623.98,9590564.789,6943792.901,1239135,70919,926422.4888
2022,7,July,12019600.13,11129287.18,7332966.341,1314106,75239,975472.6509
2022,8,August,13095346.16,12361088.29,8338393.226,1349992,74401,1098964.211
2022,9,September,12936260.24,11791503.54,7472154.55,1378784,74648,858199.785
