location_id,Sensor_description,sensor_name,Installation_date,Note,location_type,Status,Direction_1,Direction_2,Latitude,Longitude,Location
1,Bourke Street Mall (North),Bou292_T,2009-03-24,,Outdoor,A,East,West,-37.81349441,144.96515323,"-37.81349441, 144.96515323"
3,Melbourne Central,Swa295_T,2009-03-25,,Outdoor,A,North,South,-37.81101524,144.96429485,"-37.81101524, 144.96429485"
7,Birrarung Marr,FedPed_T,2014-12-17,,Outdoor,A,East,West,-37.81862929,144.97169395,"-37.81862929, 144.97169395"
9,Southern Cross Station,Col700_T,2009-03-23,,Outdoor,A,East,West,-37.81982992,144.95102555,"-37.81982992, 144.95102555"
12,New Quay,NewQ_T,2009-01-21,,Outdoor,A,East,West,-37.81457988,144.94292398,"-37.81457988, 144.94292398"
17,Collins Place (South),Col15_T,2009-03-30,Device is upgraded in 26/02/2020,Outdoor,A,East,West,-37.81362543,144.97323591,"-37.81362543, 144.97323591"
18,Collins Place (North),Col12_T,2009-03-30,,Outdoor,A,East,West,-37.81344862,144.97305353,"-37.81344862, 144.97305353"
20,Chinatown-Lt Bourke St (South),LtB170_T,2013-09-06,,Outdoor,A,East,West,-37.81172914,144.9682466,"-37.81172914, 144.9682466"
21,Bourke St-Russell St (West),Rus180_T,2013-09-02,,Outdoor,A,North,South,-37.81244703,144.96778757,"-37.81244703, 144.96778757"
23,Spencer St-Collins St (South),Col623_T,2013-09-02,,Outdoor,A,East,West,-37.81909256,144.95452748,"-37.81909256, 144.95452748"
28,The Arts Centre,VAC_T,2013-08-23,,Outdoor,A,North,South,-37.82129925,144.96879309,"-37.82129925, 144.96879309"
36,Queen St (West),Que85_T,2015-01-20,,Outdoor,A,North,South,-37.81652527,144.96121062,"-37.81652527, 144.96121062"
37,Lygon St (East),Lyg260_T,2015-02-11,,Outdoor,A,North,South,-37.80310271,144.96671451,"-37.80310271, 144.96671451"
40,Lonsdale St-Spring St (West),Spr201_T,2015-01-19,,Outdoor,A,North,South,-37.80999341,144.97227587,"-37.80999341, 144.97227587"
42,Grattan St-Swanston St (West),UM1_T,2015-04-15,,Outdoor,A,North,South,-37.80008566,144.96386412,"-37.80008566, 144.96386412"
55,Elizabeth St-La Trobe St (East),Eli380_T,2018-07-19,,Outdoor,A,North,South,-37.80988941,144.96134331,"-37.80988941, 144.96134331"
57,Bourke St Bridge,BouBri_T,2018-08-13,,Outdoor,A,East,West,-37.8176735,144.95025594,"-37.8176735, 144.95025594"
61,RMIT Building 14,RMIT14_T,2019-06-28,,Outdoor,A,North,South,-37.80767455,144.96309114,"-37.80767455, 144.96309114"
62,La Trobe St (North),Lat224_T,2019-09-25,,Outdoor,A,East,West,-37.80996494,144.96216521,"-37.80996494, 144.96216521"
63,231 Bourke St,Bou231_T,2020-01-07,,Outdoor,A,East,West,-37.81333081,144.96675571,"-37.81333081, 144.96675571"
69,Flinders Ln -Degraves St (Crossing),FLDegC_T,2020-06-03,,Outdoor,A,North,South,-37.81687226,144.96559144,"-37.81687226, 144.96559144"
71,Westwood Place,WestWP_T,2020-10-16,,Outdoor,A,North,South,-37.81235775,144.97136962,"-37.81235775, 144.97136962"
78,Harbour Esplanade (West) - Bike Path,HarEsB_T,2021-03-30,,Outdoor,A,North,South,-37.81471642,144.9446508,"-37.81471642, 144.9446508"
